title,artist,path,bpm,energy
Don't Say,The Chainsmokers · Emily Warren,media/Don't Say.mp3,99,0.26
Starboy (Acoustic),Simon Samaeng,media/Starboy (Acoustic).mp3,172,0.18
Shower,Becky G,media/Shower.mp3,117,0.23
Blame,Calvin Harris · John Newman,media/Blame.mp3,129,0.29
Monody (Bimonte Remix),Christian Büttner,media/Monody (Bimonte Remix).mp3,129,0.32
Lost,Blake Rose · Joel Adams,media/Lost.mp3,129,0.31
Trouble (Sander Kleinenberg Remix),Halsey,media/Trouble (Sander Kleinenberg Remix).mp3,123,0.24
2 Phút Hơn (KAIZ Remix),Pháo,media/2 Phút Hơn (KAIZ Remix).mp3,129,0.34
Don't Let Me Down,Lucas & Steve,media/Don't Let Me Down.mp3,123,0.22
STUCK IN 2020 | A Year-End Megamix (Mashup of 100+ Songs) // by Adamusic,Unknown Artist,media/STUCK IN 2020  A Year-End Megamix (Mashup of 100+ Songs)  by Adamusic.mp3,152,0.23
Quarantine,Mat Best & Tim Montana,media/Quarantine.mp3,99,0.28
Don't Break the Heart,Tom Grennan,media/Don't Break the Heart.mp3,123,0.32
Closer,The Chainsmokers · Halsey,media/Closer.mp3,96,0.25
aerosmith,dream on,media/dream on - aerosmith (sped up).mp3,96,0.24
Graduation (Friends Forever),Colleen Fitzpatrick,media/Graduation (Friends Forever).mp3,161,0.2
They Speak (Ow),"Öwnboss, CEVITH",media/They Speak (Ow).mp3,123,0.29
Wing$,Andrew Joslyn,media/Wing$.mp3,144,0.17
Glowing Review,Joe Rubel,media/Glowing Review.mp3,117,0.23
Don't,Ed Sheeran,media/Don't.mp3,96,0.28
We Were Here,Lights,media/We Were Here.mp3,144,0.29
Another Life (feat. Alida) (twocolors Remix),Lucas & Steve · Alida,media/Another Life (feat. Alida) (twocolors Remix).mp3,123,0.27
First Time,Henrik Meinke,media/First Time.mp3,89,0.21
Save Myself,Ashe,media/Save Myself.mp3,74,0.16
I'm Not A Saint,Billy Raffoul,media/I'm Not A Saint.mp3,129,0.27
Seesaw,Ummet Ozcan,media/Seesaw.mp3,144,0.29
7 Years,Lukas Graham,media/7 Years.mp3,117,0.24
fools (can't help falling in love),Foster · Sody · Sarcastic Sounds,media/fools (can't help falling in love).mp3,161,0.22
Temporary,Hanna Trager,media/Temporary.mp3,123,0.26
Champions,"Kurt Hugo Schneider, Andie Case",media/Champions.mp3,152,0.24
Good Enough,Daniel Nigro,media/Good Enough.mp3,74,0.22
Like My Father,Jax,media/Like My Father.mp3,136,0.2
Love Is Gone (Tiësto Remix),Slander · Tiësto · Dylan Matthew,media/Love Is Gone (Tiësto Remix).mp3,129,0.31
Freezing,Mimi Webb,media/Freezing.mp3,78,0.27
Bad Girls,M.I.A.,media/Bad Girls.mp3,144,0.31
Freeze,Kygo,media/Freeze.mp3,112,0.2
Cinderella Snapped,Jax,media/Cinderella Snapped.mp3,144,0.28
Good Things Fall Apart vs. Sad Songs,ILLENIUM · Jon Bellion · Said The Sky · Annika Wells,media/Good Things Fall Apart vs. Sad Songs.mp3,144,0.27
Sexy And I Know It,LMFAO,media/Sexy And I Know It.mp3,129,0.35
Good Things Fall Apart,ILLENIUM · Jon Bellion,media/Good Things Fall Apart.mp3,144,0.28
See The Way,The Chainsmokers · Sabrina Claudio,media/See The Way.mp3,96,0.25
Another Life (feat. Alida),Lucas & Steve · Alida,media/Another Life (feat. Alida).mp3,123,0.25
death bed (coffee for your head),Powfu · beabadoobee,media/death bed (coffee for your head).mp3,144,0.18
Whispering Still (Little Rose Remix),Chloe Lewer,media/Whispering Still (Little Rose Remix).mp3,117,0.28
White Room (feat. Julia Ross),Ayon · Julia Ross,media/White Room (feat. Julia Ross).mp3,144,0.29
Clouds,Paper Idol,media/Clouds.mp3,92,0.3
Toothbrush,DNCE,media/Toothbrush.mp3,103,0.24
Rave Love (Extended Mix),Willem van Hanegem,media/Rave Love (Extended Mix).mp3,161,0.29
abc (The Wild Remix),The Wild,media/abc (The Wild Remix).mp3,123,0.3
Live Forever,Stafford Brothers · Lexy Panterra · Lil Yachty,media/Live Forever.mp3,99,0.28
FUN FUN FUN (Lyrics)🎵 - Dimitrix feat. Raquel Castro,Unknown Artist,media/FUN FUN FUN (Lyrics)🎵 - Dimitrix feat. Raquel Castro.mp3,129,0.26
Control,Zoe Wees,media/Control.mp3,112,0.35
